title,year,certificate,duration,genre,rating,votes
Avatar: The Last Airbender,(2005–2008),TV-Y7-FV,23 min,"Animation, Action, Adventure",9.300000190734863,"309,241"
Hannibal,(2013–2015),TV-14,44 min,"Crime, Drama, Horror",8.5,"253,302"
Star Trek: Voyager,(1995–2001),TV-PG,44 min,"Action, Adventure, Sci-Fi",7.800000190734863,"69,047"
NCIS: Los Angeles,(2009– ),TV-14,43 min,"Action, Crime, Drama",6.699999809265137,"53,571"
Persuasion,(I) (2022),PG,108 min,"Drama, Romance",5.699999809265137,"25,625"
Good Girls,(2018–2021),TV-14,43 min,"Comedy, Crime, Drama",7.699999809265137,"51,835"
Dated and Related,(2022– ),TV-MA,,Reality-TV,4.300000190734863,379
Jogi,(2022),TV-MA,116 min,"Drama, History, Thriller",7.5,"4,105"
How to Get Away with Murder,(2014–2020),TV-14,43 min,"Crime, Drama, Mystery",8.100000381469727,"150,319"
Uncoupled,(2022– ),TV-MA,30 min,"Comedy, Drama, Romance",7.0,"13,745"
Longmire,(2012–2017),TV-14,60 min,"Action, Crime, Drama",8.300000190734863,"35,601"
The Anthrax Attacks,(2022),TV-MA,94 min,"Documentary, Crime",6.199999809265137,865
White Collar,(2009–2014),TV-PG,40 min,"Comedy, Crime, Drama",8.300000190734863,"131,006"
White Noise,(I) (2022),,136 min,"Comedy, Drama, Horror",5.900000095367432,235
After Life,(2019–2022),TV-MA,30 min,"Comedy, Drama",8.399999618530273,"133,432"
Outer Banks,(2020– ),TV-MA,50 min,"Action, Crime, Drama",7.599999904632568,"48,115"
Luckiest Girl Alive,(2022),R,115 min,"Drama, Mystery, Thriller",,
Derry Girls,(2018–2022),TV-MA,30 min,Comedy,8.5,"36,522"
El Camino: A Breaking Bad Movie,(2019),TV-MA,122 min,"Action, Crime, Drama",7.300000190734863,"243,473"
Anatomy of a Scandal,(2022),TV-MA,268 min,"Drama, Thriller",7.0,"27,590"
A Knight's Tale,(2001),PG-13,132 min,"Action, Adventure, Romance",6.900000095367432,"186,888"
The Munsters,(2022),PG,109 min,"Comedy, Family, Fantasy",,
Baywatch,(2017),R,116 min,"Action, Comedy, Crime",5.5,"185,920"
Broad Peak,(2022),TV-MA,101 min,"Adventure, Biography, Drama",5.900000095367432,671
Grimm,(2011–2017),TV-14,45 min,"Crime, Drama, Fantasy",7.800000190734863,"119,368"
The Sea Beast,(2022),PG,115 min,"Animation, Adventure, Comedy",7.099999904632568,"36,407"
Operation Mincemeat,(2021),PG-13,128 min,"Drama, War",6.599999904632568,"22,162"
Alchemy of Souls,(2022– ),Approved,80 min,"Action, Drama, Fantasy",8.699999809265137,"3,769"
