show_title,rating,votes,total_hours,total_views,weeks_in_top10,average_weekly_views_12m,average_weekly_views_4w,momentum_ratio,proven_demand_score,reliable_demand,demand_pattern,metadata_match_note,original_uk_audience,google_trends_average_12m,google_trends_average_4w,rights_status,current_platform,production_status,confirmed_release_date,estimated_viewers_low,estimated_viewers_base,estimated_viewers_high,projected_value_base_gbp,licence_cost_gbp,benefit_cost_ratio,projected_roi,break_even_viewers,recommendation
Fate: The Winx Saga,6.900000095367432,43185,190790000,,5,0.0,0.0,,78.43736727873573,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3674018.045698639,5652335.454920983,7913269.636889376,14130838.637302458,,,,,Shortlist for rights and cost research
Ragnarok,7.5,37517,140500000,31100000.0,5,0.0,0.0,,78.08271945317996,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3659610.477785436,5630169.965823747,7882237.952153246,14075424.914559368,,,,,Shortlist for rights and cost research
Titans,7.599999904632568,98315,94110000,2200000.0,4,0.0,0.0,,77.77634199336754,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3647163.8934805566,5611021.374585471,7855429.924419659,14027553.436463678,,,,,Shortlist for rights and cost research
Jujutsu Kaisen,8.600000381469727,56920,45900000,20000000.0,11,240384.61538461538,0.0,0.0,77.57687904328768,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3639060.711133562,5598554.94020548,7837976.916287672,13996387.3505137,,,,,Shortlist for rights and cost research
Anatomy of a Scandal,7.0,27590,171020000,,5,0.0,0.0,,76.81452203506656,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3608089.957674579,5550907.62719166,7771270.678068323,13877269.06797915,,,,,Shortlist for rights and cost research
Love Is Blind,6.099999904632568,8099,1530800000,94700000.0,44,480769.23076923075,0.0,0.0,76.74289808980774,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3605180.234898439,5546431.130612983,7765003.582858176,13866077.826532459,,,,,Shortlist for rights and cost research
Stay Close,6.900000095367432,31279,203170000,,4,0.0,0.0,,76.44512873424199,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3593083.354828581,5527820.5458901245,7738948.764246174,13819551.36472531,,,,,Shortlist for rights and cost research
Sex/Life,5.400000095367432,21107,467640000,,11,0.0,0.0,,76.18262496480244,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3582419.1391950995,5511414.060300153,7715979.684420213,13778535.150750382,,,,,Shortlist for rights and cost research
The Tourist,6.0,243244,101300000,17800000.0,5,0.0,0.0,,76.03246025933743,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3576318.698035583,5502028.766208589,7702840.272692024,13755071.915521473,,,,,Shortlist for rights and cost research
Selling Sunset,6.5,6584,403180000,26800000.0,18,150000.0,0.0,0.0,75.55188902769999,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3556795.4917503125,5471993.0642312495,7660790.289923749,13679982.660578124,,,,,Shortlist for rights and cost research
PIECES OF HER,6.300000190734863,25208,227470000,,5,0.0,0.0,,75.46446157825004,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3553243.7516164077,5466528.848640627,7653140.388096877,13666322.121601569,,,,,Shortlist for rights and cost research
